crop_id,crop_name,season,seasons_list,description,seed_price,seed_price_model,sell_price_raw,growth_days,regrowth_days,is_regrowable,is_trellis,is_multi_season,is_quest_only,profit_supported,farm_context,rule_note,special_harvest_model,available_days,base_yield,expected_extra_yield,yield_per_harvest,yield_note,max_harvests,seed_cycles,profit_total,profit_per_day,roi,affordable,will_mature,first_harvest_day
yam,Yam,Fall,Fall,A starchy tuber with a lot of culinary versatility.,60,shop_gold,160,10,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,200.0,7.142857142857143,1.6666666666666667,,True,11
blue-jazz,Blue Jazz,Spring,Spring,The flower grows in a sphere to invite as many butterflies as possible.,30,shop_gold,50,7,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,60.0,2.142857142857143,0.6666666666666666,,True,8
carrot,Carrot,Spring,Spring,"A fast-growing, colorful tuber that makes for a great snack.",15,found_seed_opportunity_cost,35,3,0,False,False,False,False,True,standard_outdoor,Seeds are not sold in shops; seed_price uses seed sell price/opportunity cost.,,28,1.0,0.0,1.0,,9,9,180.0,6.428571428571429,1.3333333333333333,,True,4
cauliflower,Cauliflower,Spring,Spring,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",80,shop_gold,175,12,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,190.0,6.785714285714286,1.1875,,True,13
garlic,Garlic,Spring,Spring,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,40,shop_gold,60,4,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,6,6,120.0,4.285714285714286,0.5,,True,5
green-bean,Green Bean,Spring,Spring,"A juicy little bean with a cool, crisp snap.",60,shop_gold,40,10,3,True,True,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,6,1,180.0,6.428571428571429,3.0,,True,11
kale,Kale,Spring,Spring,The waxy leaves are great in soups and stir fries.,70,shop_gold,110,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,4,4,160.0,5.714285714285714,0.5714285714285714,,True,7
parsnip,Parsnip,Spring,Spring,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,20,shop_gold,35,4,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,6,6,90.0,3.2142857142857144,0.75,,True,5
potato,Potato,Spring,Spring,A widely cultivated tuber.,50,shop_gold,80,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.25,1.25,"Uses 1.25 expected potatoes per harvest, matching the wiki's high-probability potato exception.",4,4,200.0,7.142857142857143,1.0,,True,7
rhubarb,Rhubarb,Spring,Spring,"The stalks are extremely tart, but make a great dessert when sweetened.",100,shop_gold,220,13,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,240.0,8.571428571428571,1.2,,True,14
strawberry,Strawberry,Spring,Spring,"A sweet, juicy favorite with an appealing red color.",100,shop_gold,120,8,4,True,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,Rare 2% extra strawberries not included in default expected yield.,5,1,500.0,17.857142857142858,5.0,,True,9
tulip,Tulip,Spring,Spring,The most popular spring flower. Has a very faint sweet smell.,20,shop_gold,30,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,4,4,40.0,1.4285714285714286,0.5,,True,7
unmilled-rice-irrigated,Unmilled Rice (Irrigated),Spring,Spring,Rice in its rawest form. Run this through a mill to increase the value.,40,shop_gold,30,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,4,4,-40.0,-1.4285714285714286,-0.25,,True,7
unmilled-rice-unirrigated,Unmilled Rice (Unirrigated),Spring,Spring,Rice in its rawest form. Run this through a mill to increase the value.,40,shop_gold,30,8,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,-30.0,-1.0714285714285714,-0.25,,True,9
coffee-bean,Coffee Bean,Spring/Summer,Spring|Summer,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,15,bean_opportunity_cost,15,10,2,True,False,True,False,True,standard_outdoor,Uses one Coffee Bean's sell price as seed opportunity cost; Traveling Cart initial purchase is much higher.,,56,4.0,0.0,4.0,Guaranteed 4 beans; rare 2% extra not included in default expected yield.,23,1,1365.0,24.375,91.0,,True,11
ancient-fruit,Ancient Fruit,Spring/Summer/Fall,Spring|Summer|Fall,"A rare and exotic fruit with a mysterious origin, grown from Ancient Seeds.",0,crafted_or_seed_maker,550,28,7,True,False,True,False,True,standard_outdoor,Grows outdoors in Spring/Summer/Fall; all-year growth applies in Greenhouse/Ginger Island.,,84,1.0,0.0,1.0,,8,1,4400.0,52.38095238095238,0.0,,True,29
mixed-flower-seeds,Mixed Flower Seeds,Spring/Summer/Fall,Spring|Summer|Fall,A mix of flower seeds that grow into a variety of seasonal flowers.,10,random_drop,30,7,0,False,False,True,False,False,random_seed,Random seasonal flower output; exclude from deterministic profit rankings.,,84,1.0,0.0,1.0,,11,11,,,,,True,8
mixed-seeds,Mixed Seeds,Spring/Summer/Fall,Spring|Summer|Fall,A random assortment of seeds that grow into seasonal crops.,0,random_drop,0,0,0,False,False,True,False,False,random_seed,Random seasonal output; exclude from deterministic profit rankings.,,84,1.0,0.0,1.0,,0,0,,,,,False,
tea-leaves,Tea Leaves,Spring/Summer/Fall,Spring|Summer|Fall,"The young leaves of a tea plant, used to make tea.",50,tea_sapling,50,20,7,True,False,True,False,True,standard_outdoor_or_indoor,Tea Bushes produce daily only during days 22-28 of Spring/Summer/Fall outdoors; Winter only if indoors.,last_week_daily,84,1.0,0.0,1.0,,21,1,1000.0,11.904761904761905,20.0,,True,21
blueberry,Blueberry,Summer,Summer,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.,80,shop_gold,50,13,4,True,False,False,False,True,standard_outdoor,,,28,3.0,0.0,3.0,Guaranteed 3 blueberries; rare 2% extra not included in default expected yield.,4,1,520.0,18.571428571428573,6.5,,True,14
hops,Hops,Summer,Summer,"A bitter, tangy flower used to flavor beer.",60,shop_gold,25,11,1,True,True,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,17,1,365.0,13.035714285714286,6.083333333333333,,True,12
hot-pepper,Hot Pepper,Summer,Summer,Fiery hot with a hint of sweetness.,40,shop_gold,40,5,3,True,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,Rare 3% extra peppers not included in default expected yield.,8,1,280.0,10.0,7.0,,True,6
melon,Melon,Summer,Summer,"A cool, sweet summer treat.",80,shop_gold,250,12,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,340.0,12.142857142857142,2.125,,True,13
pineapple,Pineapple,Summer,Summer,A sweet and tangy tropical treat.,240,barter_or_seed_maker,300,14,7,True,False,False,False,True,standard_outdoor_or_ginger_island,Grows in Summer on the standard farm and all year on Ginger Island; regrows every 7 days.,,28,1.0,0.0,1.0,,2,1,360.0,12.857142857142858,1.5,,True,15
poppy,Poppy,Summer,Summer,"In addition to its colorful flower, the Poppy has culinary and medicinal uses.",100,shop_gold,140,7,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,120.0,4.285714285714286,0.4,,True,8
radish,Radish,Summer,Summer,A crisp and refreshing root vegetable with hints of pepper when eaten raw.,40,shop_gold,90,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,4,4,200.0,7.142857142857143,1.25,,True,7
red-cabbage,Red Cabbage,Summer,Summer,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.,100,shop_gold,260,9,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,480.0,17.142857142857142,1.6,,True,10
starfruit,Starfruit,Summer,Summer,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone.",400,shop_gold,750,13,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,700.0,25.0,0.875,,True,14
summer-spangle,Summer Spangle,Summer,Summer,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma.",50,shop_gold,90,8,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,120.0,4.285714285714286,0.8,,True,9
summer-squash,Summer Squash,Summer,Summer,"A curved yellow squash that is harvested while immature, and still tender.",20,found_seed_opportunity_cost,45,6,3,True,False,False,False,True,standard_outdoor,Seeds are not sold in shops; seed_price uses seed sell price/opportunity cost.,,28,1.0,0.0,1.0,,8,1,340.0,12.142857142857142,17.0,,True,7
taro-root-irrigated,Taro Root (Irrigated),Summer,Summer,This starchy root is one of the most ancient crops.,60,barter_or_seed_maker,100,7,0,False,False,False,False,True,standard_outdoor_or_ginger_island,Grows in Summer on the standard farm and all year on Ginger Island; irrigated growth model.,,28,1.0,0.0,1.0,,3,3,120.0,4.285714285714286,0.6666666666666666,,True,8
taro-root-unirrigated,Taro Root (Unirrigated),Summer,Summer,This starchy root is one of the most ancient crops.,60,barter_or_seed_maker,100,10,0,False,False,False,False,True,standard_outdoor_or_ginger_island,Grows in Summer on the standard farm and all year on Ginger Island; unirrigated growth model.,,28,1.0,0.0,1.0,,2,2,80.0,2.857142857142857,0.6666666666666666,,True,11
tomato,Tomato,Summer,Summer,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses.",50,shop_gold,60,11,4,True,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,Rare 5% extra tomatoes not included in default expected yield.,5,1,250.0,8.928571428571429,5.0,,True,12
corn,Corn,Summer/Fall,Summer|Fall,"One of the most popular grains. The sweet, fresh cobs are a summer favorite.",150,shop_gold,50,14,4,True,False,True,False,True,standard_outdoor,,,56,1.0,0.0,1.0,,11,1,400.0,7.142857142857143,2.6666666666666665,,True,15
sunflower,Sunflower,Summer/Fall,Summer|Fall,A common misconception is that the flower turns so it's always facing the sun.,200,shop_gold,80,8,0,False,False,True,False,True,standard_outdoor,Harvest can return Sunflower Seeds; this deterministic profit model does not credit seed returns.,,56,1.0,0.0,1.0,,6,6,-720.0,-12.857142857142858,-0.6,,True,9
wheat,Wheat,Summer/Fall,Summer|Fall,One of the most widely cultivated grains. Makes a great flour for breads and cakes.,10,shop_gold,25,4,0,False,False,True,False,True,standard_outdoor,,,56,1.0,0.0,1.0,,13,13,195.0,3.482142857142857,1.5,,True,5
powdermelon,Powdermelon,Winter,Winter,"Named for the powdery coating that forms on the surface, this melon is crisp and sweet, with a delicate flavor.",20,found_seed_opportunity_cost,70,7,0,False,False,False,False,True,standard_outdoor,Seeds are not sold in shops; seed_price uses seed sell price/opportunity cost.,,28,1.0,0.0,1.0,,3,3,150.0,5.357142857142857,2.5,,True,8
